theme,url,img,lines,author
FAMILY,/inspirational-quotes/7184-in-every-conceivable-manner-the-family-is-a,https://assets.passiton.com/quotes/quote_artwork/7184/medium/20240701_monday_quote.jpg,"In every conceivable manner, the family is a link to our past, bridge to our future.
",<Author:0x00007f2dee940ac0>
OPTIMISM,/inspirational-quotes/3998-the-future-belongs-to-those-who-believe-in-the,https://assets.passiton.com/quotes/quote_artwork/3998/medium/20240628_friday_quote.jpg,The future belongs to those who believe in the beauty of their dreams.,<Author:0x00007f2dee929f28>
OPTIMISM,/inspirational-quotes/4995-if-the-world-seems-cold-to-you-kindle-fires-to,https://assets.passiton.com/quotes/quote_artwork/4995/medium/20240627_thursday_quote.jpg,"If the world seems cold to you, kindle fires to warm it.",<Author:0x00007f2dee982ec0>
OPTIMISM,/inspirational-quotes/6791-turn-your-face-to-the-sun-and-the-shadows-fall,https://assets.passiton.com/quotes/quote_artwork/6791/medium/20240626_wednesday_quote.jpg,Turn your face to the sun and the shadows fall behind you.,<Author:0x00007f2dee969998>
OPTIMISM,/inspirational-quotes/3661-optimism-is-the-faith-that-leads-to-achievement,https://assets.passiton.com/quotes/quote_artwork/3661/medium/20240625_tuesday_quote.jpg,Optimism is the faith that leads to achievement.,<Author:0x00007f2dee9d84b0>
OPTIMISM,/inspirational-quotes/5129-those-who-wish-to-sing-always-find-a-song,https://assets.passiton.com/quotes/quote_artwork/5129/medium/20240624_monday_quote.jpg,"Those who wish to sing, always find a song.",<Author:0x00007f2dee9c1148>
COURAGE,/inspirational-quotes/8433-if-you-want-to-change-the-world-pick-up-your,https://assets.passiton.com/quotes/quote_artwork/8433/medium/20240621_friday_quote.jpg,"If you want to change the world, pick up your pen and write.",<Author:0x00007f2deea1b9b8>
COURAGE,/inspirational-quotes/8432-you-must-never-ever-give-out-we-must-keep-the,https://assets.passiton.com/quotes/quote_artwork/8432/medium/20240620_thursday_quote.jpg,"You must never, ever give out. We must keep the faith because we are one people. We are brothers and sisters. We all live in the same house: The American house.",<Author:0x00007f2deea039a8>
COURAGE,/inspirational-quotes/8431-without-a-struggle-there-can-be-no-progress,https://assets.passiton.com/quotes/quote_artwork/8431/medium/20240619_wednesday_quote.jpg,"Without a struggle, there can be no progress.",<Author:0x00007f2dee9f0d08>
COURAGE,/inspirational-quotes/7681-success-is-to-be-measured-not-so-much-by-the,https://assets.passiton.com/quotes/quote_artwork/7681/medium/20240618_tuesday_quote_updated.jpg,Success is to be measured not so much by the position that one has reached in life as by the obstacles which they have overcome.,<Author:0x00007f2deea599c0>
COURAGE,/inspirational-quotes/7862-you-can-choose-courage-or-you-can-choose,https://assets.passiton.com/quotes/quote_artwork/7862/medium/20240617_monday_quote.jpg,"You can choose courage, or you can choose comfort, but you cannot choose both.",<Author:0x00007f2deea42518>
VOLUNTEERING,/inspirational-quotes/8430-how-wonderful-it-is-that-nobody-need-wait-a,https://assets.passiton.com/quotes/quote_artwork/8430/medium/20240614_friday_quote.jpg,How wonderful it is that nobody need wait a single moment before starting to improve the world.,<Author:0x00007f2deeadbe48>
VOLUNTEERING,/inspirational-quotes/7850-at-the-end-of-the-day-its-not-about-what-you,https://assets.passiton.com/quotes/quote_artwork/7850/medium/20240613_thursday_quote.jpg,"At the end of the day, it's not about what you have or even what you've accomplished… It's about who you've lifted up, who you've made better. It's about what you've given back.",<Author:0x00007f2deeaabce8>
VOLUNTEERING,/inspirational-quotes/6809-the-smallest-act-of-kindness-is-worth-more-than,https://assets.passiton.com/quotes/quote_artwork/6809/medium/20240612_wednesday_quote.jpg,The smallest act of kindness is worth more than the grandest intention.,<Author:0x00007f2deea81d58>
VOLUNTEERING,/inspirational-quotes/7077-the-best-way-to-find-yourself-is-to-lose,https://assets.passiton.com/quotes/quote_artwork/7077/medium/20240611_tuesday_quote.jpg,The best way to find yourself is to lose yourself in the service of others.,<Author:0x00007f2deeb130c8>
VOLUNTEERING,/inspirational-quotes/7523-volunteers-do-not-necessarily-have-the-time,https://assets.passiton.com/quotes/quote_artwork/7523/medium/20240610_monday_quote.jpg,Volunteers do not necessarily have the time; they just have the heart.,<Author:0x00007f2deeaf9240>
KINDNESS,/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/quote_artwork/4228/medium/20240607_friday_quote.jpg,"Good words bring good feelings to the heart. Speak with kindness, always. ",<Author:0x00007f2deeb7c938>
KINDNESS,/inspirational-quotes/8270-sometimes-miracles-are-just-good-people-with,https://assets.passiton.com/quotes/quote_artwork/8270/medium/20240606_thursday_quote.jpg,Sometimes miracles are just good people with kind hearts.,<Author:0x00007f2deeb546b8>
KINDNESS,/inspirational-quotes/8165-extend-yourself-in-kindness-to-other-human,https://assets.passiton.com/quotes/quote_artwork/8165/medium/20240605_wednesday_quote.jpg,Extend yourself in kindness to other human beings wherever you can.,<Author:0x00007f2deebc4b48>
